Session ID,Title,Format,Type,EstSeating,Topic,Sponsor,Cosponsor,Duration,Equipment,Speaker
6832,Our Changing Workplace: Contradictions and Strategies of Faculty Governance,Roundtable,MLA Committees,30,The Profession: General,MLA Committee on Academic Freedom and Professional Rights and Responsibilities,,75,Projector,1455
6838,Political Commitments / Professional Responsibilities,Roundtable,MLA Committees,100,The Profession: General,MLA Committee on Academic Freedom and Professional Rights and Responsibilities,,75,Projector,1455
6839,Latinx Literature since 2010,Roundtable,Special Sessions,40,American Literature: Twentieth and Twenty-First Centuries,,,75,Projector,1456
6844,Poetry in Motion: Teaching Metrics through Performance,Roundtable,Forum Sessions,35,Teaching: Literature,TM Language Theory,,75,"Projector, Speakers",1457
6849,"Milton and Donne: Religion, Politics, Aesthetics",Panel,Allied Organizations,50,British Literature: Seventeenth Century,Milton Society of America,John Donne Society,75,"Projector, Speakers",1457
6850,PMLA: How Members Shape the Journal,Roundtable,MLA Committees,50,The Profession: Publishing and Editing,PMLA Editorial Board,,75,"Projector, Speakers",1461
6851,Teaching the Humanities through the Global Hispanophone,Roundtable,Forum Sessions,30,Teaching: Literature,CLCS Global Hispanophone,,75,,1461
6857,Seventeenth-Century Race Thinking: Embodiment,Roundtable,Forum Sessions,50,British Literature: Seventeenth Century,LLC 17th-Century English,,75,Projector,1462
6859,Life Writing and the Life of Faith,Panel,Allied Organizations,35,"Genre, Theory, Method: Nonfictional Prose",Conference on Christianity and Literature,,75,"Projector, Speakers",1513
6860,Empathy and the Postcolonial,Panel,Special Sessions,35,Other Literature in English: General,,,75,Projector,1515
6861,Scholarly Editing Now,Roundtable,Forum Sessions,30,American Literature: General,TM Bibliography and Scholarly Editing,,75,Projector,1517
6864,Revising Resilience: Literary Listening and Indigenous Perspectives,Panel,Allied Organizations,30,"Genre, Theory, Method: Literary Criticism and Theory",Association for the Study of Literature and the Environment,,75,"Projector, Speakers",1527
6869,The Uses of the University Press,Roundtable,Special Sessions,75,The Profession: Publishing and Editing,,,75,Projector,1542
